,delay
536,0.14857535
537,0.14857534552233756
538,0.14857535868433575
539,0.14857534635279895
540,0.14857535
541,0.14857534479345608
542,0.14857534967167577
543,0.14857535
544,0.14857535
545,0.1485755112988491
546,0.1485751699752356
547,0.14857530063619465
548,0.14857535
549,0.14857534527331304
550,0.14857534496925542
551,0.14857534729452557
552,0.14857534605097347
553,0.14857535
554,0.14857535
555,0.14857607788804675
556,0.1485866641919359
557,0.1485700625250691
558,0.1485764306985295
559,0.14865780710460766
560,0.14857602293123642
561,0.14857534812023104
562,0.14857535
563,0.1485753670172354
564,0.14857535
565,0.14857573581779826
566,0.14857482739408479
567,0.14857615518618775
568,0.14857535
569,0.14859344642168806
570,0.148573652467466
571,0.1485753678037287
572,0.14845771160757595
573,0.1485754718238726
574,0.14857550353300497
575,0.1485753505799699
576,0.1485753469276945
577,0.14857585348132538
578,0.1485755469914751
579,0.1485753723717731
580,0.14857535054056067
581,0.14857543560460545
582,0.14857537623111214
583,0.14857534589143734
584,0.1485754746463513
585,0.14857534530269045
586,0.1485759864907162
587,0.14857534586439677
588,0.14857534689640098
589,0.14857534524843674
590,0.14857532147810038
591,0.1485683273768431
592,0.14857535
593,0.14857535
594,0.14857535
595,0.14857534508286876
596,0.14857535
597,0.14857535
598,0.14857533673604373
599,0.14857534532962882
600,0.14857535
601,0.14857534576384876
602,0.14857534490507635
603,0.1485755658755078
604,0.1485753458213021
605,0.14857479778077498
606,0.14857882642183418
607,0.14858905175085357
608,0.14857388186454046
609,0.14845139796752765
610,0.1485819413578514
611,0.14857534542361847
612,0.14857535
613,0.14857535
614,0.14857535
615,0.1485753461115048
616,0.1485753458520111
617,0.14857535
618,0.14857535
619,0.14857535
620,0.14857535
621,0.14857535
622,0.14857535
623,0.14857535
624,0.14857535
625,0.14857535
626,0.14857535
627,0.14857535
628,0.14857535
629,0.1485753462792773
630,0.14857534533636832
631,0.14857534487042348
632,0.14857534538055706
633,0.14857534620097704
634,0.14857534523888055
635,0.14857534558963864
636,0.14857534630351485
637,0.14857535
638,0.14857535
639,0.14857534520671342
640,0.14857535
641,0.14857535
642,0.14857535
643,0.14857535
644,0.14857535
645,0.14857535
646,0.14857535
647,0.14857535
648,0.14857535
649,0.14857535
650,0.14857534565249272
651,0.14857535
652,0.14857535
653,0.14857535
654,0.14857535
655,0.14857534531848487
656,0.14857535
657,0.14857535
658,0.14857535
659,0.14857535
660,0.14857535
661,0.14857535
662,0.14857535
663,0.14857535
664,0.14857535
665,0.14857535
666,0.14857535
